hour,total_txs,failed_ratio
2024-05-01 00:00:00.000 UTC,3332418.0,0.6167461584951227
2024-05-01 01:00:00.000 UTC,3315472.0,0.5937510556566304
2024-05-01 02:00:00.000 UTC,3203614.0,0.5962497354550205
2024-05-01 03:00:00.000 UTC,3138037.0,0.6222880737225215
2024-05-01 04:00:00.000 UTC,3089726.0,0.5872096749032115
2024-05-01 05:00:00.000 UTC,3144651.0,0.6124638314394825
2024-05-01 06:00:00.000 UTC,2956395.0,0.602505754474622
2024-05-01 07:00:00.000 UTC,2568563.0,0.6143540181805935
2024-05-01 08:00:00.000 UTC,2712040.0,0.6038096783233285
2024-05-01 09:00:00.000 UTC,2849206.0,0.6017690542558173
2024-05-01 10:00:00.000 UTC,2867242.0,0.5745803807282399
2024-05-01 11:00:00.000 UTC,2880106.0,0.5859221848084758
2024-05-01 12:00:00.000 UTC,3042756.0,0.6283178802375216
2024-05-01 13:00:00.000 UTC,3066593.0,0.6116876285832519
2024-05-01 14:00:00.000 UTC,3116861.0,0.603383019005339
2024-05-01 15:00:00.000 UTC,3070504.0,0.6259594516079445
2024-05-01 16:00:00.000 UTC,2933743.0,0.6441187929549385
2024-05-01 17:00:00.000 UTC,3041815.0,0.643440511668198
2024-05-01 18:00:00.000 UTC,2611895.0,0.6735998192882945
2024-05-01 19:00:00.000 UTC,2735942.0,0.690570560340826
2024-05-01 20:00:00.000 UTC,3055684.0,0.6595060222195751
2024-05-01 21:00:00.000 UTC,3134305.0,0.6596932972381437
2024-05-01 22:00:00.000 UTC,3329437.0,0.6537949208830202
2024-05-01 23:00:00.000 UTC,3283628.0,0.6286439876867903
